txId,class
230444448,2
4996915,unknown
230464771,2
20510018,unknown
230334719,unknown
232000584,unknown
203812102,unknown
232431931,2
230673815,unknown
232383231,unknown
232034284,2
198358107,2
198363083,unknown
198426420,unknown
2923374,unknown
53204358,unknown
230586868,unknown
2754445,unknown
7460711,unknown
230470030,unknown
230390238,unknown
230456623,2
232903064,unknown
113492022,unknown
232903069,unknown
99506340,unknown
2713749,unknown
56588535,unknown
232012309,unknown
230411297,unknown
230470029,2
230438482,2
230438479,2
232412807,unknown
80044762,unknown
5197391,2
106306280,unknown
230411659,unknown
76864781,unknown
37001822,unknown
86977694,unknown
230540192,unknown
230516994,unknown
54735213,unknown
219837311,unknown
234017978,unknown
230530258,unknown
3416106,unknown
74325541,unknown
232010758,unknown
4988292,unknown
230411274,2
232670457,unknown
232673585,unknown
230537141,2
230530176,unknown
232067342,unknown
230345439,2
29115493,unknown
14713336,2
230336239,unknown
232019233,unknown
230530819,unknown
230455738,unknown
232639903,unknown
232921306,unknown
76867053,unknown
230544483,unknown
87823727,unknown
230452736,unknown
45936391,unknown
232000938,unknown
232000936,unknown
232895310,unknown
230331387,2
231993291,2
230472718,unknown
27533958,unknown
230522939,unknown
166888820,unknown
230548582,unknown
230548586,unknown
3908453,unknown
230409254,unknown
76865205,unknown
75604333,unknown
2912780,2
230437116,unknown
230543170,unknown
230530317,unknown
230923479,unknown
232897813,unknown
232431861,unknown
232018604,unknown
75604019,unknown
232067357,unknown
3891191,2
3851887,2
232347599,unknown
232069314,unknown
232038134,unknown
232061952,unknown
230548931,unknown
230548930,unknown
232949441,unknown
232349072,2
20299716,2
230543312,unknown
87823631,unknown
84064852,unknown
232022782,unknown
1050220,unknown
230686565,2
86353799,2
232472561,2
232673957,unknown
232673961,unknown
3114489,2
107227719,2
232002739,2
230439786,unknown
232907894,2
230530242,unknown
36340051,unknown
232037090,2
230444459,2
232377087,unknown
13285375,2
230901179,unknown
230528715,unknown
230457906,unknown
230649780,unknown
75600731,unknown
75597414,unknown
230457093,2
230457090,2
233842379,2
232457179,2
232457182,unknown
232448785,2
232448783,2
35558560,unknown
230531926,unknown
156330450,2
202251566,unknown
232440028,2
3877118,2
230397187,unknown
231994209,unknown
231994210,unknown
230659440,unknown
51140228,2
232643045,unknown
232349125,unknown
73119118,unknown
232031824,2
34381791,unknown
232473204,2
232068053,unknown
230445153,unknown
232374910,unknown
75605340,unknown
75604075,unknown
230540580,unknown
230540579,unknown
232039890,2
232039888,2
232441173,unknown
232023544,unknown
232023929,unknown
34923889,unknown
230411328,2
88003736,unknown
89609627,unknown
2718195,2
2865010,2
230456327,unknown
230456324,unknown
230517601,unknown
232025998,unknown
230519593,unknown
230519589,unknown
4049602,unknown
226889376,2
232026318,unknown
27279853,2
27527984,2
230354384,2
230473578,2
232465856,2
232073368,unknown
230530293,unknown
234452271,unknown
74478273,unknown
131659143,2
230473482,unknown
230658282,unknown
230442140,unknown
232919400,unknown
230456385,2
230456384,2
230530229,unknown
75600717,unknown
75605330,unknown
230530200,unknown
182449541,unknown
230419201,unknown
82945549,unknown
230442139,unknown
232921766,unknown
230418124,unknown
90935592,unknown
3912534,2
230527759,2
232919605,unknown
230531170,unknown
230334753,unknown
52191313,unknown
102404547,unknown
232654499,unknown
87823757,unknown
230547979,unknown
75597405,unknown
230426815,unknown
232010338,unknown
230417568,unknown
230392232,unknown
230392230,unknown
195215469,2
230540196,2
34031118,unknown
225944002,unknown
87739542,unknown
230330544,unknown
230338271,2
37231292,unknown
2929196,unknown
3881827,2
230658150,unknown
232072340,2
48236824,unknown
230458577,unknown
232432886,unknown
232040265,unknown
230330962,unknown
73191409,2
11998335,unknown
230599182,unknown
230402449,unknown
232431935,2
232392947,unknown
2778105,unknown
232440097,2
230653282,unknown
230653288,unknown
230518261,unknown
230518258,unknown
230557022,2
232448425,unknown
87823679,unknown
230549076,unknown
79871665,unknown
230687058,unknown
175872615,unknown
230457868,unknown
232472215,2
232472220,2
232907868,2
230530333,unknown
230530233,unknown
232431924,unknown
63186078,unknown
75604036,unknown
232066385,unknown
230516005,unknown
230516004,2
231179652,2
232465409,2
80045322,unknown
230548958,unknown
3898382,2
232431869,unknown
232673468,unknown
33453302,2
3876980,2
3876998,2
11343564,2
230651834,unknown
230659121,unknown
230412060,2
232795825,2
232345693,unknown
232035061,unknown
230423949,unknown
230423848,unknown
231998448,2
231998131,2
231565690,unknown
2791962,unknown
232033534,unknown
232432891,unknown
230472247,unknown
230643071,unknown
232633987,unknown
31663613,2
231253425,2
230455960,unknown
27323573,unknown
209416370,unknown
230455963,unknown
212706911,unknown
230548574,unknown
213736040,2
198356667,unknown
38793679,unknown
75604916,2
230621237,2
3408161,2
3882798,2
230530345,unknown
230455764,unknown
7105998,unknown
234431587,unknown
53549918,unknown
230439805,unknown
232401224,2
10216529,unknown
230445159,unknown
75598324,unknown
230602337,unknown
125738786,unknown
230354705,2
37232627,unknown
230459145,unknown
232549860,unknown
208537161,unknown
88906998,unknown
75607469,unknown
230530254,unknown
195237911,2
86261919,2
2716232,unknown
87823772,unknown
232904582,2
232440109,2
75604043,unknown
11665997,unknown
230650904,2
231993295,unknown
231995257,2
219844395,unknown
232455961,unknown
230428647,unknown
34255082,unknown
232035280,2
3857826,2
231180498,unknown
230445150,unknown
230440526,unknown
12456270,unknown
230525364,unknown
230659120,unknown
5608369,unknown
232448379,2
230523203,2
88055509,2
37234025,2
60428736,unknown
232007259,unknown
231990479,unknown
232427169,2
232433797,2
232009318,unknown
8390228,2
230516459,2
231996113,2
230588248,unknown
232656726,unknown
230465376,2
13995945,2
196536221,unknown
5035357,unknown
230530321,unknown
232445704,unknown
230650044,unknown
230650191,unknown
33809076,unknown
230437676,unknown
17152398,unknown
230442067,2
231992557,unknown
232019118,unknown
230557021,unknown
231994213,unknown
214640850,unknown
232431900,unknown
16027454,unknown
49186045,unknown
232432884,unknown
60579970,unknown
67204095,unknown
20664692,unknown
231267445,unknown
62111535,unknown
232356999,unknown
232898395,2
230683551,2
230347375,unknown
230658291,unknown
232897182,unknown
230592895,unknown
232342233,unknown
232346075,unknown
13258060,unknown
230530058,2
230530049,2
75604010,unknown
20306273,unknown
230659430,unknown
230659445,unknown
230523246,2
232431929,2
230578938,2
230645825,unknown
230649124,2
230434020,2
232034946,2
230438483,2
230349222,unknown
232696994,unknown
230602580,2
232359151,2
39915271,unknown
230465378,2
230465367,2
232348838,unknown
36412430,unknown
87823739,unknown
230425996,unknown
230425992,unknown
234075335,2
75604061,unknown
232068046,unknown
230524593,unknown
230524524,unknown
28177105,unknown
22128620,unknown
230420824,unknown
75197702,unknown
3874964,2
3912536,2
230877155,2
232009687,unknown
230411347,unknown
232433655,unknown
2760789,unknown
232470480,unknown
230519603,unknown
73738963,unknown
230400468,unknown
230400467,unknown
230652186,unknown
232923173,unknown
232923556,unknown
231992573,unknown
232632920,unknown
232629023,1
231573972,2
233999928,unknown
230559686,unknown
230595373,2
63006056,2
233599183,unknown
232423723,unknown
18981892,unknown
230537131,unknown
231492487,unknown
232903605,2
230552340,2
232008165,2
230438538,2
76866745,unknown
230531543,unknown
230451706,unknown
63437050,unknown
230408898,unknown
30469907,unknown
230455943,unknown
32477885,unknown
230540700,unknown
195231797,unknown
230468041,2
230397485,unknown
21696454,2
75597421,2
230414067,unknown
232339516,unknown
230555001,2
230452758,unknown
76627599,unknown
232443614,2
232448385,2
5294829,unknown
65784644,unknown
230530349,unknown
75604072,unknown
230414055,2
232009696,unknown
232009699,2
37232631,unknown
232031833,unknown
232655975,unknown
60492027,2
230530338,unknown
230404561,unknown
230454327,unknown
230454323,unknown
230531169,unknown
1874227,unknown
232000582,unknown
230339661,unknown
10506205,unknown
10288849,unknown
232403821,unknown
82124528,unknown
232432894,unknown
205317238,unknown
230542752,unknown
23312717,unknown
230653312,unknown
230586278,unknown
232377110,unknown
230550396,2
18907280,unknown
230612860,2
28261907,unknown
230465374,2
10872471,unknown
230649123,unknown
232022462,unknown
232468551,unknown
230404574,2
230404572,2
76864767,unknown
232380264,unknown
232380263,unknown
230599952,unknown
230539729,2
232953069,unknown
102053374,unknown
232949055,unknown
232431888,unknown
219844310,unknown
230456381,unknown
23316173,unknown
232417457,unknown
58836743,unknown
36566888,unknown
232059609,unknown
230418055,unknown
231223914,2
230557027,2
230339760,2
232014505,2
230602315,unknown
230582497,unknown
230455592,unknown
3272544,unknown
3273965,unknown
232419651,unknown
230556839,2
5530440,unknown
10489593,unknown
230330054,unknown
231995696,unknown
230095966,unknown
3329673,unknown
3420566,2
3877087,2
232431388,2
2864084,unknown
34596005,unknown
19559657,unknown
230650915,2
230468042,2
232648116,unknown
54492383,2
230543317,unknown
230547939,unknown
230530211,unknown
232034293,unknown
232034651,2
5530920,unknown
27447795,unknown
14407957,unknown
231136221,unknown
230465227,2
232440023,2
75603998,unknown
232065277,unknown
69591744,unknown
230438845,2
232673917,unknown
232673920,unknown
230560120,unknown
230440145,unknown
36674352,unknown
230427132,unknown
232443237,unknown
99600686,2
3420754,2
230549474,unknown
82974256,unknown
232062518,2
232448383,2
230683184,unknown
233953189,unknown
230528720,2
230413259,unknown
230413257,unknown
234024792,2
232383230,2
82927541,unknown
27420011,unknown
20033752,unknown
230520011,unknown
232470556,unknown
233199126,unknown
230405627,unknown
33499224,unknown
232100126,unknown
10648957,unknown
230611059,unknown
230429446,unknown
232380250,unknown
232948277,unknown
230570332,unknown
230526938,2
230687755,unknown
2717498,2
232470408,unknown
34492719,unknown
10501342,unknown
7404691,unknown
230406515,2
230440525,unknown
76865995,unknown
232906649,2
232040281,unknown
230451699,unknown
232342095,unknown
2928489,unknown
232070462,unknown
79658821,unknown
230456354,unknown
232900729,2
232395869,unknown
230588663,unknown
230593831,unknown
232467036,unknown
231995762,2
230539733,unknown
232441231,unknown
230334819,2
232346245,2
232431848,unknown
2311555,unknown
2929201,unknown
87823707,unknown
230969365,2
230547933,unknown
87823721,unknown
232007424,unknown
230426341,unknown
232004444,unknown
18218289,unknown
231136247,unknown
57085433,unknown
57085430,unknown
232419988,unknown
31636054,unknown
230437686,unknown
232431866,unknown
230538521,unknown
54309947,unknown
230548650,unknown
3764320,unknown
648193,unknown
99506348,unknown
62111499,unknown
232359367,unknown
5119722,2
2929199,unknown
232875618,unknown
87823653,unknown
87823637,unknown
232014178,unknown
230537142,unknown
3234247,unknown
33972936,unknown
231192284,2
232468570,unknown
230530320,unknown
232428618,2
231502557,2
28498170,unknown
230464780,2
232906716,2
233947259,unknown
232403770,unknown
52603109,unknown
230429077,unknown
232662867,unknown
230453433,unknown
230459308,unknown
231128114,unknown
5530811,unknown
16780529,unknown
230472262,unknown
230472263,unknown
27489574,unknown
230451730,2
232454798,2
54732584,2
230518043,unknown
213733494,unknown
232907285,2
234459963,2
204265627,unknown
232443612,2
232444880,2
230590476,unknown
83783485,unknown
3880766,2
232459630,2
232907037,2
230352249,unknown
230530296,unknown
232064968,unknown
230459112,unknown
82373185,unknown
230548928,unknown
230548926,unknown
14938386,2
230697509,unknown
230697477,unknown
230539308,2
230539305,unknown
32477881,unknown
230437626,unknown
2778023,unknown
231994217,unknown
57319992,2
218531042,unknown
230549942,unknown
55017801,unknown
232016542,unknown
230519642,unknown
230519651,unknown
232062802,unknown
230456346,unknown
232657067,unknown
232018270,unknown
75603987,unknown
230455953,unknown
27867469,unknown
231994160,unknown
232006911,unknown
34300577,2
34528027,unknown
157053175,unknown
233599194,unknown
3880667,2
3877983,2
230530206,unknown
230438748,unknown
230336086,unknown
230590482,unknown
13969323,unknown
230594119,unknown
230594127,unknown
3880653,2
3876487,2
3907811,unknown
3230875,unknown
230552370,2
232699222,unknown
230458584,unknown
106320178,unknown
7398153,2
230471919,unknown
230409255,unknown
230576809,unknown
232897317,unknown
231994205,unknown
86711289,unknown
232013266,2
230349398,unknown
230411694,unknown
230531130,unknown
230548677,unknown
80044109,unknown
230595729,unknown
232632082,unknown
230579563,2
230594521,2
232034264,2
230451698,unknown
5703544,unknown
230658148,unknown
232951115,unknown
232416473,unknown
232353289,2
36815216,2
232473511,unknown
230333964,unknown
230455578,unknown
57517680,unknown
37232699,2
230439026,unknown
82072649,2
232346255,2
13615479,unknown
81389320,unknown
232037045,2
230438467,2
76867051,unknown
87823759,unknown
232018634,unknown
157004979,unknown
231995064,2
232673599,unknown
233599197,unknown
230433274,unknown
230438854,2
230466907,2
231169665,2
232432895,2
230530302,unknown
232010801,unknown
232631392,unknown
192393975,2
87823625,unknown
80045317,unknown
232036650,2
232034945,2
230459083,unknown
232036658,2
232448771,2
232054858,2
37234018,2
232067367,unknown
230445156,unknown
230670387,unknown
230439991,unknown
230444846,2
232631007,unknown
230579557,unknown
230530311,unknown
230602655,2
27405707,unknown
232343693,unknown
232006644,unknown
230465387,unknown
77689165,unknown
219839769,unknown
232344777,unknown
231995249,2
230473480,2
230658274,unknown
230659118,unknown
230531166,unknown
232377100,2
230438870,2
5464338,unknown
232439373,2
28371102,unknown
39617086,unknown
230470032,unknown
230530344,unknown
232895871,2
230400498,2
230400474,unknown
230528724,unknown
230455743,unknown
234000524,unknown
232018276,unknown
232658266,unknown
2790845,unknown
232892365,2
231992310,unknown
230578992,2
232897183,unknown
14178872,unknown
2823289,unknown
232091677,unknown
232068006,unknown
7089693,2
40612971,unknown
14847524,2
59184908,2
232448362,2
87823731,unknown
80045362,unknown
3376469,2
71369990,2
230531646,2
230529025,2
124534478,unknown
230531164,unknown
230968861,2
231179638,2
3319044,unknown
230530288,unknown
230391875,2
230432970,unknown
230440348,2
71384764,2
232396277,2
3272533,unknown
230389796,1
231178835,2
231179679,2
230456321,unknown
76866500,unknown
230543224,unknown
230970140,2
232703120,2
230452293,unknown
3903937,2
232687817,unknown
232352891,unknown
230429080,unknown
232896849,unknown
230946692,2
230946408,2
232351322,2
232680982,unknown
230659434,2
230458967,unknown
230658155,unknown
3239815,2
231177887,2
232406377,unknown
230670910,unknown
200937694,unknown
232038138,unknown
230577432,2
230451739,2
232035698,unknown
195233844,2
230433507,unknown
3880017,2
230645770,unknown
122803889,unknown
87889630,unknown
87844658,unknown
230473478,2
63454082,unknown
76866421,unknown
75597538,unknown
76864773,unknown
14090184,unknown
232654981,unknown
230339649,2
230601403,2
230438852,unknown
232431904,2
230570337,unknown
232073378,unknown
75604009,unknown
230590640,unknown
230547572,unknown
230512126,unknown
230511920,2
232034934,2
230461032,2
230642375,unknown
232068018,unknown
37234004,unknown
14351284,unknown
14558195,2
3876945,unknown
3880117,2
232359167,unknown
232050845,2
230429613,unknown
230429786,unknown
232006642,unknown
230439284,unknown
187275502,unknown
230436744,2
91222490,unknown
7430887,unknown
232471909,unknown
232406370,unknown
232639918,unknown
76865958,unknown
230548693,unknown
230649126,2
230649197,2
213854764,unknown
75604051,unknown
230415432,unknown
230680288,2
230529165,2
230543255,unknown
230543251,unknown
230528718,unknown
3880029,2
3880150,2
230645348,unknown
230645351,unknown
232914298,2
38633795,unknown
89335432,unknown
230458975,unknown
232453410,2
209968186,2
232890435,unknown
75332827,2
57714315,unknown
232367959,unknown
234461480,2
28850502,unknown
230431949,unknown
230467689,unknown
232441180,unknown
202250908,unknown
234469735,unknown
31951523,unknown
232009703,unknown
232009704,2
232053478,unknown
233027078,unknown
230468668,2
230468013,2
232034707,2
230472266,unknown
230472372,unknown
232004056,unknown
232004055,unknown
230411677,unknown
230526083,2
32994941,unknown
230523228,unknown
230547914,unknown
230547921,unknown
230339756,2
75598044,unknown
226715158,unknown
232023529,unknown
230602361,unknown
232358819,unknown
3408102,2
230602597,2
230473598,2
230426349,unknown
28550205,unknown
230531154,unknown
230543275,unknown
230438487,2
230461033,2
230400505,unknown
230400501,unknown
230439301,unknown
230439411,unknown
3110874,unknown
76866766,unknown
230548672,unknown
75604977,unknown
75604040,unknown
232349714,unknown
232349715,unknown
232345690,2
232440022,2
230659457,unknown
230594094,unknown
230594099,unknown
232404316,unknown
16294174,unknown
230658275,unknown
232009938,2
24671032,unknown
230645742,unknown
232473579,unknown
232686009,2
7089467,2
230459337,unknown
230523235,2
232380270,unknown
232950807,unknown
232451368,unknown
230449926,unknown
232919640,unknown
230704774,2
231193985,unknown
230531981,unknown
230523280,2
230523277,2
232687319,unknown
232900752,unknown
232447731,2
94235109,unknown
61817691,unknown
7915940,unknown
230459884,unknown
230460307,unknown
230575202,unknown
14713334,2
230530307,unknown
230351417,unknown
232359384,unknown
75600732,unknown
76865969,unknown
230457369,unknown
230457202,unknown
232378469,unknown
14558432,unknown
37786466,2
231241751,2
196629648,2
232343709,unknown
13773644,unknown
51077588,unknown
99506339,unknown
232795843,unknown
230456353,unknown
232067704,unknown
232070255,unknown
232070258,unknown
230522135,unknown
230522956,unknown
231994070,unknown
231994074,unknown
2544322,unknown
105601443,unknown
215701791,unknown
232348123,unknown
232005857,unknown
230411213,unknown
3154628,unknown
232913899,2
12878074,2
7757447,2
230455570,unknown
61693869,unknown
232399292,unknown
99248471,unknown
230425275,unknown
230425274,unknown
37231354,unknown
37233995,unknown
2757608,unknown
230594082,unknown
230452813,unknown
232947900,unknown
232947899,unknown
232468003,2
182448481,2
213736062,2
230653299,unknown
230459349,unknown
230468660,2
231995245,2
230421649,unknown
230537689,unknown
232008172,2
232358815,unknown
230949968,unknown
230423446,unknown
230428181,unknown
232007419,unknown
232007412,unknown
22251287,unknown
33471466,2
230459342,unknown
232441214,unknown
232441217,unknown
76865952,unknown
76866754,unknown
230658285,unknown
232890862,unknown
38874237,unknown
231995428,unknown
232383564,unknown
232038019,unknown
230417053,unknown
232031788,2
232440020,2
232675758,2
232688308,unknown
5392905,unknown
232919404,2
232432893,unknown
232359368,unknown
232634235,unknown
55022339,2
230642655,2
230340190,2
230945818,2
76865213,unknown
76865996,unknown
232031838,unknown
31454007,unknown
232349722,unknown
230393704,2
232907282,unknown
28773784,unknown
51053386,unknown
3910603,unknown
233599195,unknown
207806949,unknown
230577418,unknown
230329236,unknown
38381946,unknown
230427460,unknown
232439983,2
230537122,unknown
230335032,unknown
218528897,unknown
230348608,unknown
230473317,2
230579323,2
230389689,unknown
230658177,unknown
232377098,unknown
232001688,unknown
232001679,2
234468961,unknown
36991677,unknown
230405614,2
11340068,unknown
230968952,2
87823733,unknown
230542503,unknown
34524319,unknown
34524321,unknown
9846194,unknown
80855903,unknown
230548642,unknown
4947963,unknown
4947964,unknown
232920279,unknown
230541536,unknown
234470338,unknown
232431854,unknown
232039876,2
32477876,unknown
232406237,unknown
232431870,unknown
230590626,unknown
232018284,unknown
3157662,unknown
231133568,2
230473481,2
3880165,2
75604057,unknown
230437694,unknown
232037554,unknown
75456168,unknown
87889714,unknown
27927615,unknown
230530262,unknown
3907743,unknown
232363568,2
230673817,unknown
232420335,unknown
232420342,unknown
10463251,unknown
230659446,unknown
219848062,unknown
230643075,unknown
230524948,unknown
230524941,unknown
230576483,unknown
230543022,unknown
230549337,unknown
234429052,unknown
232411120,unknown
230541995,unknown
232025322,unknown
232025688,unknown
230592225,unknown
230592227,unknown
230618787,unknown
52393430,unknown
3898178,2
230438486,2
232443223,2
232447725,unknown
230524961,unknown
230658145,unknown
232419112,unknown
232419145,unknown
230459077,2
230867389,unknown
232049567,2
230408405,unknown
230402442,unknown
234441421,unknown
116959010,unknown
232072635,unknown
75604984,unknown
33746092,unknown
230515113,unknown
34074225,unknown
230444454,2
230439994,unknown
232004438,unknown
75600733,unknown
5868364,unknown
67018611,unknown
3789059,2
232468568,unknown
12629826,unknown
38857806,unknown
33795689,unknown
7977017,unknown
232014180,unknown
230423014,unknown
16407238,unknown
2871072,unknown
75597416,unknown
212689472,2
232958804,2
230580831,2
52876520,2
267262,unknown
4947993,unknown
75600736,unknown
230528723,2
75604271,unknown
230458441,unknown
232548764,unknown
232346248,2
230529178,2
54735269,2
118545988,unknown
58640306,unknown
230437640,2
230411238,unknown
232901278,unknown
230332417,unknown
230456624,2
230455561,unknown
230455558,unknown
82608531,unknown
72853746,unknown
230436742,2
230436739,2
230439442,2
230348615,unknown
230596499,unknown
230598489,unknown
232904028,2
230542761,unknown
230542768,unknown
232046508,2
232061267,2
4996156,unknown
230455108,unknown
75604439,unknown
230530328,unknown
75607349,unknown
230471945,unknown
232468893,unknown
32976149,2
82166991,unknown
232059241,unknown
7550645,2
230623077,2
75604388,unknown
31099729,unknown
232432875,unknown
80045313,unknown
230544157,unknown
232418772,unknown
230670894,unknown
230650916,unknown
232908843,2
232000574,unknown
232000573,unknown
230576811,unknown
232470706,unknown
218126909,unknown
230652600,unknown
232073792,unknown
14558439,unknown
234088748,unknown
230445148,unknown
230428237,unknown
232001654,2
230653317,unknown
230530386,unknown
208530489,unknown
230546647,unknown
87823736,unknown
232661965,unknown
68588132,unknown
3907270,unknown
76865989,unknown
230547983,unknown
230524970,unknown
232956027,unknown
233775069,unknown
28145238,unknown
230532772,unknown
234002839,unknown
232958826,2
232907272,2
227338369,2
230437613,unknown
230649815,2
230469214,2
231028831,2
33053378,unknown
37530250,unknown
230403082,2
232419632,unknown
13150773,unknown
230334817,unknown
54916228,unknown
232011855,unknown
230941366,2
33527989,unknown
80045320,unknown
230602666,unknown
230459149,unknown
3878766,unknown
234442420,unknown
230436760,2
5051852,2
3399363,2
230847045,unknown
13341989,unknown
3880228,2
230648169,unknown
102611544,unknown
